Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,1,144.7,785.4333333333334,825.3666666666667,700.5666666666666
2020,1,1,2,144.5666666666667,784.4666666666667,830.2666666666668,702.4333333333334
2020,1,1,3,145.9,781.0333333333333,821.8333333333334,697.3666666666668
2020,1,1,4,145.36666666666667,772.3000000000001,812.3333333333334,698.7333333333332
2020,1,1,5,144.4,775.3333333333334,810.2666666666668,699.1
2020,1,1,6,146.23333333333335,778.6999999999999,795.1,702.0666666666666
2020,1,1,7,147.00000000000003,777.4333333333334,799.0666666666666,700.8666666666668
2020,1,1,8,144.63333333333333,774.5666666666666,793.3333333333334,697.9666666666666
2020,1,1,9,147.26666666666668,761.8333333333334,771.5333333333334,700.9666666666667
2020,1,1,10,146.36666666666665,745.2333333333332,777.7333333333332,702.0999999999999
2020,1,1,11,145.63333333333333,718.7333333333332,766.6999999999999,696.6
2020,1,1,12,144.4333333333333,707.2666666666668,754.9333333333334,701.6333333333332
2020,1,1,13,145.86666666666667,727.5666666666666,750.4,695.5
2020,1,1,14,144.03333333333333,760.0333333333333,760.0,698.8666666666667
2020,1,1,15,146.0,763.4333333333333,771.8666666666667,697.7666666666668
2020,1,1,16,146.5666666666667,752.3333333333334,786.1999999999999,699.3333333333334
2020,1,1,17,143.36666666666667,763.9333333333334,803.3333333333334,700.4333333333334
2020,1,1,18,145.86666666666667,775.1999999999999,815.7333333333332,700.5333333333334
2020,1,1,19,146.13333333333335,774.9666666666666,818.7666666666668,691.2666666666668
2020,1,1,20,146.33333333333334,780.1333333333333,826.4,696.2333333333332
2020,1,1,21,146.83333333333334,772.0999999999999,817.3333333333334,697.0666666666666
2020,1,1,22,144.13333333333335,762.6,822.4333333333334,696.8666666666667
2020,1,1,23,144.73333333333335,754.5333333333334,819.5666666666666,698.1333333333333
2020,1,1,24,146.86666666666665,753.3666666666668,805.0,696.4333333333334
2020,1,1,25,144.53333333333333,773.5666666666666,797.9333333333333,693.7333333333335
2020,1,1,26,146.06666666666666,780.1333333333333,793.3666666666667,689.6999999999999
2020,1,1,27,146.23333333333335,780.9333333333334,791.3666666666668,692.6
2020,1,1,28,146.13333333333333,779.5,773.8333333333334,693.3333333333334
2020,1,1,29,146.9333333333333,779.4666666666667,760.6333333333332,687.9
2020,1,1,30,145.9,782.5666666666666,756.4333333333334,697.5333333333334
2020,1,1,31,146.29999999999998,781.2000000000002,748.4666666666666,694.6
2020,1,1,32,145.16666666666666,779.9666666666667,754.1333333333333,694.4333333333334
2020,1,1,33,144.96666666666667,763.6,726.2333333333332,687.2666666666668
2020,1,1,34,145.96666666666667,761.0,659.2,673.1666666666666
2020,1,1,35,145.13333333333333,756.9333333333334,603.5666666666667,650.2666666666667
2020,1,1,36,143.4333333333333,753.5666666666667,526.9,627.9
2020,1,1,37,143.4,729.1,458.06666666666666,618.6333333333333
2020,1,1,38,143.03333333333333,715.8333333333334,380.4333333333334,591.3333333333334
