,ww1,ww2,ww3,ww4,ww5,ww6,ww7,ww8,ww9,ww10,ww11,ww12,ww13,ww14,ww15,ww16,ww17,ww18,ww19,ww20,ww21,ww22,ww23,ww24,ww25,ww26,ww27,ww28,ww29,ww30,ww31,ww32,ww33,ww34,ww35,ww36,ww37,ww38,ww39,ww40,ww41,ww42,ww43,ww44,ww45,ww46,ww47,ww48,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18,dd19,dd20,dd21,dd22,dd23,dd24,dd25,dd26,dd27,dd28,dd29,dd30,dd31,dd32,dd33,dd34,dd35,dd36,dd37,dd38,dd39,dd40,dd41,dd42,dd43,dd44,dd45,dd46,dd47,dd48
d1,614.725,609.3583333333333,606.4000000000001,604.3583333333333,594.1291666666667,579.4916666666667,585.2833333333333,595.4375,606.05,610.0291666666667,607.4208333333332,602.3291666666668,602.3791666666666,600.4916666666667,594.6708333333333,593.0333333333333,570.1750000000001,525.9625,472.47916666666663,418.0583333333333,364.77083333333337,302.04166666666663,235.53750000000002,177.53333333333333,116.57083333333333,64.32499999999999,31.991666666666667,23.69166666666666,54.00416666666666,83.675,116.05,124.2125,148.42083333333335,182.75,199.13333333333338,214.58333333333334,217.67916666666665,214.22916666666669,236.39583333333331,255.22916666666669,263.3875,278.975,299.32916666666665,262.0375,233.075,234.575,257.57916666666665,281.07916666666677,1091.6016838777778,1074.4834924388888,1061.0858893055554,1054.320228038889,1053.6704007166666,1051.842460188889,1051.7757242388889,1063.500129811111,1083.4880851,1118.4006831666668,1159.690756388889,1213.500633888889,1265.1228303888888,1288.4629471666667,1292.5576070555555,1288.4359541111114,1294.0164181111113,1301.1220532222223,1308.2565195,1308.9532285555554,1309.4541242777777,1303.060652388889,1306.0347991666665,1301.6894972777775,1295.4799155555556,1291.2372679444443,1288.2538377222222,1284.388927527778,1278.84851,1274.6656450222224,1270.0341066222225,1272.4071092777779,1289.7465740555554,1344.7186586666667,1459.7574586666667,1514.949786722222,1496.1290655,1463.5734961111111,1452.5231109999997,1438.6012112222224,1410.3389774444443,1378.3030765555557,1326.6761588888887,1283.3483016222224,1227.2082194666666,1181.9941286333333,1138.8949122333333,1104.1036192722222
d2,273.9458333333334,233.37499999999997,188.34999999999997,171.28333333333333,162.41249999999997,155.89583333333337,156.42916666666667,156.70416666666668,224.02500000000003,297.6791666666667,318.1708333333333,330.29166666666663,331.25833333333327,324.55416666666656,319.0291666666667,325.075,357.7625,363.9083333333334,365.50000000000006,369.5291666666667,363.0541666666667,354.95416666666654,346.33750000000003,338.0583333333334,335.64583333333337,319.34583333333336,305.98750000000007,315.9416666666667,354.69166666666666,382.4625,397.08333333333337,418.75,434.08333333333337,476.5333333333333,517.875,537.1666666666667,541.3583333333333,522.3625,520.4791666666667,492.1291666666667,503.27083333333337,516.5,532.0583333333333,522.2208333333333,491.1083333333333,462.2125,444.15833333333336,440.92500000000007,1082.1949773222223,1062.6957987277779,1056.3178864166666,1045.2583271944443,1042.4506074888889,1037.2011519166665,1040.4576082555557,1050.483693022222,1066.4510558277777,1095.9989910000002,1135.3877211111112,1186.2752318888888,1237.9914142222224,1258.2987161666667,1255.2335126666665,1250.2284236666665,1265.0299093888889,1274.3093957222225,1285.0849880555559,1286.2883330000002,1297.6413096666668,1300.9830529444446,1311.0412469444445,1309.0736963333336,1309.5989873888886,1310.0610809444445,1315.7234370555555,1316.9586119444443,1313.888268111111,1309.1949352777779,1298.708520388889,1296.9946800555554,1312.6776277222223,1359.7162420555558,1450.282728888889,1500.6935179444445,1484.9867882222222,1451.9470193333334,1433.5370477777776,1423.3303121666668,1392.168201166667,1357.0716581666666,1308.4786784444443,1266.5988783,1210.245057588889,1165.2474294055555,1124.818974111111,1089.8382504111112
d3,484.6916666666666,559.6125,539.8874999999999,506.4083333333333,459.42083333333335,399.12916666666666,396.07916666666677,355.81666666666666,362.3791666666666,442.6833333333334,520.0458333333332,510.61249999999995,509.8416666666667,523.7666666666668,518.7041666666667,484.0291666666667,490.5333333333334,486.4375,469.8208333333333,455.4666666666667,439.725,428.77083333333337,421.375,397.13750000000005,414.60833333333335,431.1625,413.83750000000003,408.43333333333334,392.55,377.37083333333334,396.54999999999995,406.6333333333333,408.58333333333337,395.98333333333335,430.8791666666666,430.9416666666667,398.88750000000005,353.5958333333333,321.6791666666667,263.4375,252.16666666666669,193.59583333333336,162.875,121.3375,94.44583333333333,79.8375,73.94166666666666,55.22916666666666,1069.9340178722223,1052.078841438889,1042.8529607055555,1029.0915972555556,1029.215371788889,1025.3206805944444,1029.1216606222222,1035.7181277055554,1049.3935362611112,1077.7695700611112,1116.1893117222223,1169.8199087222222,1219.5527125555557,1241.4791481111113,1238.0149183333333,1245.2071086666667,1269.664914388889,1277.3350402777778,1289.1494982777779,1293.8193218333333,1310.2293356666667,1314.249387888889,1324.9113181666667,1324.0380305555555,1324.651862777778,1324.450773111111,1327.3154670000001,1326.1008814444447,1320.8624684444444,1324.8412437777777,1317.336541388889,1299.9362254999999,1273.8777134444445,1308.0263020555558,1418.3916615,1474.6928832777778,1440.3876462222222,1400.0097436666667,1381.633791,1365.7029709444444,1335.2390946666667,1310.2815421111109,1274.6626867777777,1246.4286530944444,1202.6512662666667,1162.8886157944444,1129.8923401333334,1095.337233372222
d4,47.912499999999994,29.887500000000003,20.654166666666665,17.858333333333334,21.166666666666668,26.370833333333337,31.1125,35.1,41.9625,40.17083333333334,36.6625,36.833333333333336,37.11666666666667,36.329166666666666,36.81250000000001,39.508333333333326,43.31666666666666,42.80833333333333,60.570833333333326,114.5625,163.625,238.89166666666665,273.3666666666667,322.41249999999997,406.6333333333333,426.6791666666667,421.9416666666667,452.00416666666666,446.18749999999994,418.35833333333335,417.67083333333335,437.1625,451.3833333333333,446.33333333333337,425.275,394.7166666666667,401.9958333333334,411.7416666666666,458.1625,528.8958333333334,578.2166666666667,605.4916666666667,613.5791666666668,603.2791666666667,519.0875,522.3958333333334,521.6666666666666,519.25,1072.5247746833336,1052.4111603944443,1042.6805766611112,1031.9416335722224,1029.2484174277777,1020.6142055222222,1019.5449109444444,1019.6399555944445,1028.9745296777778,1043.0215650833331,1060.0936497666669,1084.1970263,1106.7484968888891,1116.3487075,1112.5757503888885,1125.255793666667,1136.7052505555557,1160.8778268888889,1169.6876078888888,1179.0627698333335,1184.6709420555555,1181.737353611111,1177.7745463555555,1173.1937431000001,1173.9889708888888,1170.2676527055555,1158.4148135555554,1148.1511815888891,1144.1192421000003,1140.0828520833334,1131.8626623888888,1132.7956126333331,1154.0558568,1208.2082163888888,1294.0084634444445,1348.5728208333333,1342.2131677222221,1315.791329388889,1306.6442522777777,1296.5594182222223,1275.0965002777777,1253.6514328666665,1225.696502283333,1201.0854924888888,1166.1299467666665,1135.0586668999997,1111.6321095888886,1084.0426025166669
d5,524.7333333333333,526.425,526.0500000000001,525.2958333333333,525.4416666666666,526.5375,534.0666666666667,566.825,588.65,605.3458333333333,611.6583333333333,615.8791666666667,614.4208333333333,599.8916666666667,594.325,601.9333333333333,596.6875,593.2333333333335,579.3208333333333,562.9166666666667,551.8166666666666,544.8666666666667,545.1541666666666,553.6583333333333,541.1291666666667,551.2833333333333,562.65,557.9458333333332,568.2333333333333,575.0208333333334,583.1708333333333,590.3125,585.3416666666666,577.1041666666666,600.7166666666667,587.2250000000001,562.9166666666666,565.6375,551.0708333333333,536.1375,514.6875,497.3375,524.6875,533.9375,535.3166666666666,528.1708333333333,486.04166666666663,450.12500000000006,1066.8631486055554,1046.7759542055555,1038.2403862833335,1029.8751566222224,1025.7459592277778,1020.2805150833332,1022.2019022277777,1024.3264414055554,1032.2821686833333,1037.9583473055557,1054.2425980444443,1067.7386977277777,1092.3760547777777,1092.9061882222222,1089.3668955,1091.1442725,1099.218440111111,1112.7755104444443,1118.4946985555555,1122.6815011111112,1124.4137039333334,1123.1847956777776,1121.5830078777778,1123.1675012555554,1120.236098511111,1113.5885824388888,1113.2437230166668,1110.0331140055557,1108.5522238166666,1109.5113473944446,1105.562675627778,1108.7451087722222,1133.933203538889,1189.853366,1276.204334888889,1341.5210376666664,1341.5179471111112,1327.4116125,1322.3644959444446,1311.0904364444443,1284.3362942777778,1256.4777131111111,1222.0145731833334,1186.3986041611108,1146.4988142,1107.46410465,1084.6256190611111,1059.3474885277776
d6,432.2875,426.46666666666664,439.89583333333326,463.8416666666667,487.02916666666664,483.84166666666664,453.2875,440.79583333333335,424.2333333333333,389.85833333333335,389.0208333333333,395.8708333333333,423.10416666666663,466.1875,499.10833333333335,537.5625,560.6416666666667,576.5541666666666,580.1166666666666,574.2166666666667,564.1958333333334,544.3833333333333,526.7666666666667,508.25000000000006,485.43333333333334,469.4625,447.38333333333327,435.8333333333333,433.7833333333333,448.2291666666667,451.1,444.28749999999997,444.1416666666667,440.4791666666667,430.2,420.79583333333335,430.7833333333333,432.3666666666667,450.75416666666666,489.1583333333333,525.7708333333333,562.5749999999999,594.4333333333333,608.6125,612.2958333333335,608.6291666666666,607.2041666666667,611.4083333333334,1043.5503627611108,1028.815050622222,1026.1849227444443,1021.0605847333333,1016.9969057,1018.1049816611112,1024.5357410777779,1037.8958132944445,1060.8400109499999,1100.0958822222221,1145.9446873333334,1206.4792095555556,1264.4329398888888,1289.4571335555554,1281.4787078888892,1277.5146241666669,1285.514519611111,1284.2089112777778,1297.365948333333,1295.9432489444446,1308.8148089444446,1309.0288224444446,1314.0578231111112,1309.7873470000002,1301.7358241666668,1290.3836828333335,1286.618839777778,1281.647158888889,1280.1551355833333,1287.5774902555556,1274.8236555444444,1273.7869281666665,1289.2134078333336,1339.746784111111,1443.5261594444444,1504.0595432222224,1495.7168360555554,1471.5099352777777,1453.1785624444444,1439.4640176666665,1410.6314545000002,1380.6106338333332,1332.840112777778,1285.946757827778,1222.8209120833333,1177.4720545777777,1144.377694361111,1110.8990145944445
d7,615.7458333333333,616.2166666666667,617.5125,616.7083333333333,616.3666666666667,616.7541666666665,616.55,615.4041666666667,613.9625,615.8583333333333,616.1833333333334,615.8124999999999,615.2208333333333,601.8708333333334,589.5875,562.075,527.725,549.6541666666667,573.3000000000001,573.7125,570.2125,579.1,575.3458333333333,579.2083333333333,582.0833333333333,585.6583333333333,587.3708333333334,591.125,582.3,570.6958333333333,559.0124999999999,548.4749999999999,537.1416666666667,526.1750000000001,515.7375,523.4166666666666,550.8416666666666,593.4083333333333,493.37083333333334,459.2541666666667,453.0666666666666,561.0,603.0541666666667,596.1041666666667,582.4541666666668,562.95,548.8916666666667,538.2041666666667,1082.5194843555555,1057.3002937499998,1053.8161656611112,1048.1298851111112,1046.6335662333333,1045.5812626777777,1053.09358655,1067.394474361111,1093.044176,1128.3915366111112,1178.593107888889,1238.512328388889,1299.3042626666668,1325.1372483888888,1316.1473008888888,1305.6653101666668,1302.1451181666666,1295.7581635555555,1303.5413309444446,1285.5696122222223,1266.5415278888888,1264.5177868333335,1296.8499812777777,1306.627188833333,1301.9174081666667,1293.647767611111,1288.3788255277777,1284.6130978833335,1284.2535648055557,1278.5135374777776,1272.8549545055555,1277.4692491444446,1293.1212000000003,1344.1956377777776,1443.8355326111111,1494.6797253888888,1490.1911203888885,1468.246336777778,1451.9098900555555,1442.9887834444444,1415.063864611111,1384.9948001666671,1335.3382813888888,1288.3940607499999,1226.9147927944443,1180.5906233944445,1146.930646072222,1113.55246665
d8,504.4083333333333,480.9125,477.2166666666667,534.3291666666668,542.0,573.1416666666667,576.2541666666667,573.1541666666667,557.8,577.1125000000001,605.4583333333334,614.8416666666666,616.8916666666667,616.0,609.0458333333333,586.2166666666667,581.1374999999999,595.0791666666667,595.6500000000001,603.1125000000001,616.8333333333334,615.8,617.0833333333333,617.1541666666666,615.9166666666666,616.8333333333334,614.8875,615.2125,617.0166666666667,615.0333333333333,615.0458333333332,615.675,616.5708333333333,615.6916666666666,615.375,614.6125,602.5124999999999,586.5208333333333,595.4791666666667,604.0999999999999,601.8125,594.5708333333333,582.8583333333333,571.8708333333333,566.5041666666666,567.9708333333334,556.8416666666667,574.5833333333335,1094.9595981833336,1074.9385075,1070.6113207222222,1065.5115297555556,1065.2167944444445,1064.9399655166665,1076.8999240777775,1091.2139772,1115.6132391666667,1156.453341611111,1212.325694,1280.161780388889,1348.9776567222223,1378.024364388889,1366.1519141666668,1348.250325611111,1341.7255685,1331.9855918333333,1334.449250388889,1326.7927657222224,1327.9698919444445,1320.3872694444447,1319.1750677222224,1310.7424445555555,1299.7306058333334,1292.877699111111,1290.2692044444445,1282.5741985333332,1275.2992924666667,1271.6589855666668,1271.9872479777778,1284.0032581666667,1309.4097867777778,1361.999417,1460.8079043888886,1512.3765543888887,1505.7690911666666,1484.4426809444442,1467.4618717777778,1458.6988237777778,1432.6899358333333,1397.483375388889,1345.1315042777778,1298.1284239444446,1240.330225472222,1195.6603360055553,1155.9111320666666,1123.9713796666665
d9,562.4583333333334,558.3958333333334,573.2,566.7208333333333,571.2333333333333,594.4958333333334,579.7833333333334,570.1083333333335,568.6208333333333,545.2125000000001,531.3625000000001,539.6083333333333,555.4708333333333,564.5625,579.8708333333333,589.0124999999999,576.2208333333334,551.2624999999999,507.5958333333333,438.96250000000003,352.0333333333333,301.6583333333333,332.35416666666663,349.85833333333335,282.5833333333333,212.65833333333333,168.72083333333336,163.79583333333335,163.70833333333331,161.34166666666667,154.82500000000002,181.68333333333334,245.4041666666667,304.54583333333335,321.1333333333334,337.1916666666666,369.5541666666667,383.6916666666666,383.51666666666665,379.775,383.6291666666667,384.77500000000003,373.54999999999995,403.8833333333333,425.74999999999994,433.9166666666667,458.15000000000003,456.6791666666667,1104.91966935,1083.1956822833333,1073.628127322222,1069.1657927222222,1069.9346057999999,1073.4133636666666,1080.5909860277777,1095.6048523333332,1118.0123572777777,1158.752408222222,1215.582685388889,1277.9606359444444,1335.4078381111112,1360.8929118888889,1352.538709888889,1339.3466035000001,1344.4943338888888,1339.3554508333334,1342.5210992777777,1328.2401380555557,1318.878527777778,1305.2403319444445,1298.4037210555555,1293.4791442222222,1287.5596628333333,1281.762759111111,1280.2411706111113,1278.1576110777778,1268.9169754555558,1268.1963979166667,1270.3390532055557,1270.9045793333332,1279.628090722222,1329.2013492777778,1440.922145722222,1494.5691315000001,1490.1305517777776,1471.6356666666668,1447.6355154444445,1434.7683134444444,1405.1478328333333,1369.5938900555554,1321.2429997222223,1277.1671210555558,1220.6416274444443,1175.940167,1138.6996552055555,1102.417790572222
d10,447.93333333333334,453.9166666666667,448.8875,439.1916666666667,402.9,381.1291666666667,368.6958333333333,370.5083333333333,380.7333333333333,420.29583333333335,475.7791666666667,501.51666666666677,519.2541666666666,510.48333333333335,492.1083333333334,481.08333333333337,475.8083333333333,478.5583333333333,471.15,459.3791666666667,431.95833333333337,403.6166666666666,371.26666666666665,350.83333333333326,338.5083333333334,315.73333333333335,300.9166666666667,304.0833333333333,333.35833333333335,352.7875,384.50416666666666,402.67916666666673,378.3125,389.45833333333337,420.08749999999986,465.125,500.9375,497.3791666666667,485.9291666666667,487.8041666666667,471.11666666666656,458.6958333333333,543.1666666666666,492.1166666666667,444.29166666666663,397.05833333333334,376.4625,343.9166666666667,1084.8802666944446,1068.7150871555557,1061.6677524611111,1053.2632685277779,1054.2196037666665,1055.5210279944445,1062.0248616555557,1074.2633588388887,1095.5114026111112,1135.6275438333334,1188.468048111111,1246.610116777778,1297.6296152777777,1319.7307291111113,1318.4588153333332,1309.296843111111,1309.7677692222221,1306.645235611111,1315.8239216111112,1311.8020649444445,1319.539164,1314.3181347222223,1313.6121242777779,1305.2535626111114,1297.5031246111112,1292.2753453888888,1289.0050928888888,1283.9756700222222,1271.1130986555556,1265.868328511111,1252.816637122222,1252.0172938444446,1259.607726055555,1302.7737639444442,1389.443361111111,1426.411484444444,1415.708799611111,1398.6521942222223,1375.849606888889,1363.4359302777777,1341.3768758888891,1316.3518036666665,1279.3630828055555,1248.8221494166667,1205.045345922222,1164.1219179277778,1129.4240252222223,1097.79794485
