Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,1,144.63333333333335,784.9500000000002,827.8166666666666,701.4999999999999
2020,1,1,2,145.63333333333333,776.6666666666666,817.0833333333334,698.0500000000001
2020,1,1,3,145.3166666666667,777.0166666666668,802.6833333333334,700.5833333333334
2020,1,1,4,145.8166666666667,776.0,796.1999999999999,699.4166666666669
2020,1,1,5,146.8166666666667,753.5333333333333,774.6333333333333,701.5333333333334
2020,1,1,6,145.03333333333333,713.0,760.8166666666666,699.1166666666667
2020,1,1,7,144.95000000000002,743.7999999999998,755.1999999999999,697.1833333333334
2020,1,1,8,146.28333333333333,757.8833333333333,779.0333333333333,698.5500000000001
2020,1,1,9,144.61666666666667,769.5666666666667,809.5333333333333,700.4833333333332
2020,1,1,10,146.23333333333332,777.5499999999998,822.5833333333334,693.75
2020,1,1,11,145.48333333333332,767.3499999999999,819.8833333333333,696.9666666666666
2020,1,1,12,145.80000000000004,753.9500000000002,812.2833333333333,697.2833333333334
2020,1,1,13,145.29999999999998,776.8499999999999,795.6500000000001,691.7166666666667
2020,1,1,14,146.18333333333337,780.2166666666667,782.6,692.9666666666667
2020,1,1,15,146.41666666666666,781.0166666666668,758.5333333333333,692.7166666666666
2020,1,1,16,145.73333333333332,780.5833333333334,751.2999999999998,694.5166666666668
2020,1,1,17,145.46666666666667,762.3000000000001,692.7166666666667,680.2166666666667
2020,1,1,18,144.28333333333333,755.25,565.2333333333333,639.0833333333334
2020,1,1,19,143.21666666666667,722.4666666666667,419.25,604.9833333333332
2020,1,1,20,142.70000000000002,680.1,304.04999999999995,545.3833333333333
2020,1,1,21,143.81666666666666,632.5833333333334,196.76666666666665,485.9166666666667
2020,1,1,22,111.18333333333334,550.3166666666667,140.81666666666666,405.84999999999997
2020,1,1,23,40.766666666666666,464.4666666666667,141.1,295.81666666666666
2020,1,1,24,5.533333333333332,352.0833333333333,152.41666666666666,200.1
2020,1,1,25,2.3000000000000003,218.01666666666668,120.21666666666665,125.75
2020,1,1,26,2.0999999999999996,102.21666666666665,80.55,72.43333333333332
2020,1,1,27,1.3,31.58333333333333,55.699999999999996,39.38333333333333
2020,1,1,28,1.3333333333333333,16.299999999999997,48.48333333333333,28.649999999999995
2020,1,1,29,5.366666666666667,66.2,68.28333333333332,76.16666666666667
2020,1,1,30,1.5833333333333333,79.46666666666665,111.43333333333334,142.21666666666667
2020,1,1,31,1.6666666666666667,93.56666666666666,171.41666666666666,197.54999999999998
2020,1,1,32,2.55,111.08333333333333,130.50000000000003,252.7166666666667
2020,1,1,33,1.3499999999999999,138.91666666666666,135.11666666666667,318.3
2020,1,1,34,4.533333333333333,139.49999999999997,198.8166666666667,388.15000000000003
2020,1,1,35,6.066666666666666,106.10000000000001,250.76666666666668,433.6000000000001
2020,1,1,36,12.0,103.36666666666667,338.0,404.9666666666667
2020,1,1,37,25.0,124.11666666666667,352.01666666666665,369.5833333333333
2020,1,1,38,44.03333333333333,190.0666666666667,325.6333333333333,297.18333333333334
2020,1,1,39,44.25,232.78333333333333,314.5,354.05
2020,1,1,40,30.933333333333334,269.1166666666667,318.1166666666667,402.75
2020,1,1,41,11.066666666666668,295.46666666666664,302.18333333333334,444.8333333333333
2020,1,1,42,9.35,325.18333333333334,288.21666666666664,493.15000000000003
2020,1,1,43,2.5,408.93333333333334,270.8666666666667,515.0166666666667
2020,1,1,44,0.8666666666666667,346.95000000000005,254.14999999999998,446.18333333333334
2020,1,1,45,0.9666666666666667,299.48333333333335,151.61666666666667,480.2333333333333
2020,1,1,46,1.0333333333333334,362.68333333333334,121.51666666666667,453.06666666666666
2020,1,1,47,0.8333333333333334,467.13333333333327,74.81666666666666,487.5333333333333
2020,1,1,48,0.8333333333333334,522.8000000000001,33.85,566.8333333333334
2020,1,2,1,1.2333333333333334,470.1333333333334,19.35,605.0666666666667
2020,1,2,2,1.0999999999999999,363.1166666666666,10.050000000000002,559.2333333333333
2020,1,2,3,4.833333333333333,259.6166666666667,7.816666666666667,481.13333333333327
2020,1,2,4,25.58333333333333,208.13333333333333,7.616666666666667,443.79999999999995
2020,1,2,5,17.216666666666665,209.73333333333335,11.016666666666666,411.68333333333334
2020,1,2,6,21.25,192.0,16.383333333333336,393.95000000000005
2020,1,2,7,24.283333333333335,164.29999999999998,14.83333333333333,422.3
